Permit_Type,Project,Project_Valuation,Total_SQFT,PSFEE,PAFEE,UTFEE,CDFEE,TotalFeeInvoiced,GeoCluster
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
RE-ROOF,RESIDENTIAL,24700.0,0,0,0,0.0,173.25,173.25,5
RE-ROOF,RESIDENTIAL,16660.0,0,0,0,0.0,127.91,127.91,5
ADDITION,RESIDENTIAL,1500.0,2035,0,0,0.0,40.71,40.71,3
NEW,RESIDENTIAL,150145.0,1740,712,0,1358.0,243.6,955.6,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,75.75,89.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,1
RE-ROOF,RESIDENTIAL,9120.0,0,0,0,0.0,81.49,81.49,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
RE-ROOF,RESIDENTIAL,9975.0,0,0,0,0.0,86.52,86.52,3
RE-ROOF,RESIDENTIAL,14107.0,0,0,0,0.0,116.12,116.12,4
NEW,RESIDENTIAL,152470.0,1835,712,0,1358.0,256.9,968.9,2
RE-ROOF,RESIDENTIAL,12700.0,0,0,0,0.0,206.91,102.57,4
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,225.0,225.0,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
RE-ROOF,RESIDENTIAL,10000.0,0,0,0,0.0,86.67,86.67,4
RE-ROOF,RESIDENTIAL,9000.0,0,0,0,0.0,80.79,80.79,3
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,125.0,125.0,4
NEW,RESIDENTIAL,160990.0,1857,712,2600,3138.0,259.98,4929.98,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,27.75,27.75,0
NEW,RESIDENTIAL,185990.0,2367,639,2600,3138.0,331.39,970.39,0
NEW,RESIDENTIAL,166990.0,2074,712,2600,3138.0,290.36,4960.36,0
RE-ROOF,RESIDENTIAL,4982.0,0,0,0,0.0,57.21,57.21,2
RE-ROOF,COMMERCIAL,13000.0,0,0,0,0.0,104.34,104.34,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,0.0,0.0,4
RE-ROOF,RESIDENTIAL,7451.0,0,0,0,0.0,71.66,71.66,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,33.75,33.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,60.0,60.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,63.75,77.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,99.75,113.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,129.75,143.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,99.25,69.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,123.75,107.25,1
RE-ROOF,RESIDENTIAL,8929.0,0,0,0,0.0,80.36,80.36,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
RE-ROOF,RESIDENTIAL,8900.0,0,0,0,0.0,80.19,80.19,1
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,184.25,184.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,0
RE-ROOF,COMMERCIAL,15000.0,0,0,0,0.0,116.12,116.12,3
RE-ROOF,COMMERCIAL,15000.0,0,0,0,0.0,116.12,116.12,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,66.25,66.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,66.25,66.25,1
RE-ROOF,COMMERCIAL,8960.0,0,0,0,0.0,80.54,80.54,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,102.75,116.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,73.75,73.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,1
RE-ROOF,RESIDENTIAL,9947.0,0,0,0,0.0,86.36,86.36,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,4
NEW,RESIDENTIAL,131118.0,1766,712,2600,3138.0,247.24,3559.24,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
RE-ROOF,RESIDENTIAL,11866.0,0,0,0,0.0,196.11,97.66,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
RE-ROOF,COMMERCIAL,213375.0,0,0,0,0.0,1563.01,781.51,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
NEW,RESIDENTIAL,259900.0,2683,639,2600,3138.0,375.63,3614.63,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
RE-ROOF,RESIDENTIAL,15229.0,0,0,0,0.0,117.88,117.88,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,0.0,0.0,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
RE-ROOF,RESIDENTIAL,11489.0,0,0,0,0.0,95.44,95.44,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
RE-ROOF,RESIDENTIAL,8882.0,0,0,0,0.0,80.09,80.09,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,3.0,51.75,54.75,1
ADDITION,RESIDENTIAL,8500.0,1371,0,0,0.0,77.83,77.83,3
NEW,RESIDENTIAL,131118.0,1774,712,2600,3138.0,248.36,3560.36,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,102.75,116.25,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,0
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,5
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,110.0,110.0,4
NEW,RESIDENTIAL,152310.0,1589,639,2600,0.0,222.47,3461.47,1
NEW,RESIDENTIAL,151960.0,1740,639,2600,3138.0,243.6,4840.6,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,2
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,70.75,70.75,2
RE-ROOF,RESIDENTIAL,11200.0,0,0,0,0.0,93.74,93.74,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,70.75,70.75,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,3
RE-ROOF,RESIDENTIAL,1900.0,0,0,0,0.0,44.97,44.97,1
RE-ROOF,RESIDENTIAL,4739.0,0,0,0,0.0,57.21,57.21,3
ADDITION,RESIDENTIAL,8500.0,986,0,0,0.0,161.57,80.79,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,60.0,60.0,0
RE-ROOF,RESIDENTIAL,31194.0,0,0,0,0.0,198.31,198.31,3
ALTERATION,COMMERCIAL,5000.0,0,0,0,0.0,57.21,57.21,0
RE-ROOF,RESIDENTIAL,5914.0,0,0,0,0.0,63.11,63.11,3
PLUMBING,COMMERCIAL,0.0,0,0,0,0.0,66.75,66.75,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
RE-ROOF,RESIDENTIAL,6715.0,0,0,0,0.0,69.0,69.0,3
RE-ROOF,RESIDENTIAL,6173.0,0,0,0,0.0,64.13,64.13,3
RE-ROOF,RESIDENTIAL,6700.0,0,0,0,0.0,67.23,67.23,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,93.75,107.25,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
RE-ROOF,RESIDENTIAL,8250.0,0,0,0,0.0,76.36,76.36,2
RE-ROOF,RESIDENTIAL,12348.0,0,0,0,0.0,100.5,100.5,4
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,220.0,220.0,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,57.75,71.25,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,57.75,71.25,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,3.0,78.75,81.75,3
RE-ROOF,RESIDENTIAL,4676.0,0,0,0,0.0,55.3,55.3,0
RE-ROOF,RESIDENTIAL,10450.0,0,0,0,0.0,92.56,92.56,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,91.75,61.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,2
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,1
RE-ROOF,RESIDENTIAL,15663.0,0,0,0,0.0,120.02,120.02,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,2
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,2
NEW,RESIDENTIAL,266000.0,2167,835,2600,3138.0,303.39,3738.39,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,105.0,105.0,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,85.0,85.0,4
RE-ROOF,RESIDENTIAL,8000.0,0,0,0,0.0,74.89,74.89,3
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,35.25,35.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,10.5,27.75,38.25,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,0.0,0.0,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ADDITION,RESIDENTIAL,13000.0,3404,0,0,0.0,104.34,104.34,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,84.0,84.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,39.75,39.75,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,0
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,85.0,85.0,4
NEW,RESIDENTIAL,215660.0,2630,887,2600,3138.0,368.2,3855.2,5
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,325.0,325.0,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,16.5,60.75,77.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,16.5,60.75,77.25,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
PLUMBING,COMMERCIAL,0.0,0,0,0,7.5,153.75,161.25,4
RE-ROOF,RESIDENTIAL,10000.0,0,0,0,0.0,86.67,86.67,3
RE-ROOF,RESIDENTIAL,10181.0,0,0,0,0.0,92.56,92.56,0
RE-ROOF,RESIDENTIAL,10074.0,0,0,0,0.0,92.56,92.56,5
RE-ROOF,RESIDENTIAL,9207.0,0,0,0,0.0,86.67,86.67,5
RE-ROOF,RESIDENTIAL,8692.0,0,0,0,0.0,78.98,78.98,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
RE-ROOF,RESIDENTIAL,13376.0,0,0,0,0.0,110.23,110.23,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
RE-ROOF,RESIDENTIAL,12000.0,0,0,0,0.0,98.45,98.45,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
RE-ROOF,RESIDENTIAL,11000.0,0,0,0,0.0,92.56,92.56,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
RE-ROOF,RESIDENTIAL,2000.0,0,0,0,0.0,46.05,46.05,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
RE-ROOF,RESIDENTIAL,5220.0,0,0,0,0.0,58.52,58.52,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,4
NEW,RESIDENTIAL,120000.0,1106,552,2600,3138.0,154.84,3306.84,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,38.25,38.25,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,0.0,0.0,4
NEW,RESIDENTIAL,151960.0,1740,639,2600,3138.0,243.6,3482.6,1
NEW,RESIDENTIAL,150005.0,1740,712,0,1358.0,243.6,955.6,2
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,210.0,210.0,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,54.75,68.25,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,57.75,71.25,0
ALTERATION,RESIDENTIAL,25000.0,0,0,0,0.0,175.03,175.03,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,0.0,0.0,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,0.0,0.0,4
RE-ROOF,RESIDENTIAL,7960.0,0,0,0,0.0,74.89,74.89,4
RE-ROOF,RESIDENTIAL,2500.0,0,0,0,0.0,45.44,45.44,3
RE-ROOF,COMMERCIAL,21994.0,0,0,0,0.0,157.31,157.31,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,78.25,48.25,3
NEW,RESIDENTIAL,200000.0,1437,552,2600,3138.0,201.19,6491.19,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,0
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,70.0,70.0,3
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,70.0,70.0,4
ADDITION,RESIDENTIAL,10000.0,3098,0,0,0.0,116.67,116.67,5
RE-ROOF,RESIDENTIAL,8000.0,0,0,0,0.0,74.89,74.89,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,85.0,55.0,1
RE-ROOF,RESIDENTIAL,9100.0,0,0,0,0.0,86.67,86.67,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
